feature,bin,good_count,bad_count,good_rate,bad_rate,woe,iv
total_acc,"(27.0, 30.0]",71256.0001,3710.0001,0.08473657174028129,0.07984160845671966,0.05950251036305673,0.0002912626035069084
total_acc,"(30.0, 34.0]",76026.0001,3917.0001,0.09040898454248603,0.0842963827168446,0.0700046945503486,0.0004279108237119312
total_acc,"(34.0, 41.0]",86465.0001,4263.0001,0.10282288752827537,0.09174252713231913,0.1140219340973101,0.0012634041228421669
total_acc,"(41.0, inf]",80812.0001,3871.0001,0.09610042430587215,0.08330643288126127,0.14286795956372636,0.0018278514495099689
total_pymnt,"(-inf, 690.15]",86626.0001,2124.0001,0.10301434632516321,0.04570985977769472,0.812554238552316,0.0465630034322097
total_pymnt,"(690.15, 1476.698]",84848.0001,3878.0001,0.10089997526388018,0.08345707742145873,0.1897972253700239,0.0033106136129043675
total_pymnt,"(1476.698, 2391.664]",83732.0001,5006.0001,0.09957284472147757,0.10773236904184973,-0.07876060315543182,0.0006426490569339262
total_pymnt,"(2391.664, 3495.28]",82778.0001,5960.0001,0.09843836216103662,0.12826306780590382,-0.26465278464061726,0.007893191400000842
total_pymnt,"(3495.28, 4894.999]",82290.0001,6448.0001,0.09785803984500394,0.13876514432252687,-0.3492650394765568,0.014287421460213681
total_pymnt,"(4894.999, 6633.718]",82434.0001,6303.0001,0.09802928249563653,0.13564465027557945,-0.324772365609857,0.01221643197717686
total_pymnt,"(6633.718, 9031.32]",82720.0001,6025.0001,0.09836938942675405,0.12966190996488025,-0.2762006976015934,0.008643016002342645
total_pymnt,"(9031.32, 12377.06]",83797.0001,4936.0001,0.099650141751277,0.10622592363987511,-0.06390271194088053,0.0004202102958131446
total_pymnt,"(12377.06, 18254.58]",84825.0001,3911.0001,0.10087262400718192,0.08416725882524677,0.18105257691052565,0.0030245494144207304
total_pymnt,"(18254.58, inf]",86862.0001,1876.0001,0.10329499400258885,0.040372738924984636,0.9394341360658965,0.059111314338147085
collections_12_mths_ex_med,"(-inf, inf]",840912.0001,46467.0001,1.0,1.0,0.0,0.0
mths_since_last_major_derog,"(-inf, 37.0]",86029.0001,3884.0001,0.10230440292124347,0.08358620257223706,0.2020742458718172,0.0037824662196030557
mths_since_last_major_derog,"(37.0, 65.0]",85316.0001,3550.0001,0.10145651396289154,0.07639830583167642,0.28366975186614574,0.007108255682792029
mths_since_last_major_derog,"(65.0, inf]",669567.0001,39033.0001,0.796239083115865,0.8400154915960865,-0.05352083762374916,0.0023429500500208485
acc_now_delinq,0.0,836964.0001,46301.0001,0.9953050964949435,0.99642755725263,-0.0011271200222636663,1.2651479941937181e-06
acc_now_delinq,1.0,3712.0001,154.0001,0.004414255114053071,0.0033141820506736907,0.28662825141900483,0.00031531201858958
acc_now_delinq,2.0,199.0001,9.0001,0.00023664794866844766,0.00019368799029525487,0.20032502118865309,8.605954571373499e-06
acc_now_delinq,3.0,26.0001,2.0001,3.0918930845635284e-05,4.304344944939938e-05,-0.3308414128047287,4.011292864446529e-06
acc_now_delinq,4.0,7.0001,0.0001,8.32441443734953e-06,2.1520648692265076e-09,8.260520188981069,6.874621634587104e-05
acc_now_delinq,5.0,2.0001,1.0001,2.378489066748018e-06,2.15228007571343e-05,-2.2026474333530195,4.2168169008139555e-05
acc_now_delinq,6.0,1.0001,0.0001,1.1893039926277148e-06,2.1520648692265076e-09,6.3146957493138425,7.49650323200626e-06
acc_now_delinq,14.0,1.0001,0.0001,1.1893039926277148e-06,2.1520648692265076e-09,6.3146957493138425,7.49650323200626e-06
tot_coll_amt,"(-inf, 125.0]",755572.0001,43374.0001,0.8985149455832442,0.9334366305832672,-0.0381297369839321,0.0013315546640866045
tot_coll_amt,"(125.0, inf]",85340.0001,3093.0001,0.10148505441675586,0.06656336941673288,0.4217571230360835,0.014728469397182042
tot_cur_bal,"(-inf, 15444.0]",84152.0001,4587.0001,0.1000723024524893,0.09871521727860168,0.013653837613141711,1.852942059146375e-05
tot_cur_bal,"(15444.0, 26389.0]",83931.0001,4807.0001,0.09980949255117122,0.1034497599705219,-0.03582278940517463,0.000130404533141918
tot_cur_bal,"(26389.0, 39018.0]",84214.0001,4525.0001,0.10014603192706723,0.09738093706542415,0.027998966550407397,7.741979853984774e-05
tot_cur_bal,"(39018.0, 59066.0]",84511.0001,4228.0001,0.10049921989399696,0.09098930443133184,0.09940799933262488,0.0009453616699659336
tot_cur_bal,"(59066.0, 80559.0]",111438.0001,12437.0001,0.1325204063772185,0.26765230878575536,-0.7029521389778896,0.0949912598422324
tot_cur_bal,"(80559.0, 111706.8]",51243.0001,2354.0001,0.06093741085757199,0.050659608955611335,0.18471836036017042,0.0018984987154368133
tot_cur_bal,"(111706.8, 167409.0]",84673.0001,4068.0001,0.10069186787595863,0.08754600065538985,0.13990066351863256,0.0018391155466854138
tot_cur_bal,"(167409.0, 228646.8]",84967.0001,3768.0001,0.10104148828766685,0.08108980607549864,0.2199739501405176,0.004388850348158942
tot_cur_bal,"(228646.8, 322884.0]",85564.0001,3175.0001,0.10175143177674781,0.06832806145591365,0.3982123576711759,0.013309599096776177
tot_cur_bal,"(322884.0, inf]",86219.0001,2518.0001,0.10253034800011135,0.054188995325951866,0.6376809832419031,0.030826361304501622
total_rev_hi_lim,"(-inf, 8700.0]",83943.0001,4811.0001,0.09982376277205728,0.10353584256492046,-0.036511598827166605,0.00013553396821145233
total_rev_hi_lim,"(8700.0, 12800.0]",85343.0001,4855.0001,0.10148862187542973,0.1044827511033045,-0.029075304119632696,8.705521787394004e-05
total_rev_hi_lim,"(12800.0, 16600.0]",83258.0001,4474.0001,0.0990091709964786,0.09628338398684265,0.02791672252511887,7.60950396105804e-05
total_rev_hi_lim,"(16600.0, 20800.0]",84392.0001,4406.0001,0.1003577068702103,0.0948199798820673,0.056760726891598653,0.0003143254091742195
total_rev_hi_lim,"(20800.0, 23700.0]",111518.0001,12500.0001,0.13261554118312552,0.2690081096475325,-0.707287252159392,0.09646872496415218
total_rev_hi_lim,"(23700.0, 26900.0]",50533.0001,2492.0001,0.06009308945514739,0.05362945846236129,0.11379633554124408,0.000735537521269871
